kode_pum,kode_bps,nama
12.24.04,1224050,Sitolu Ori
12.24.03,1224060,Tuhemberua
12.24.02,1224070,Sawo
12.24.01,1224080,Lotu
12.24.11,1224090,Lahewa Timur
12.24.09,1224100,Afulu
12.24.10,1224110,Lahewa
12.25.02,1225010,Sirombu
12.25.01,1225020,Lahomi
12.25.08,1225030,Ulu Moro'o
12.25.07,1225040,Lolofitu Moi
12.25.06,1225050,Mandrehe Utara
12.25.05,1225060,Mandrehe
12.25.03,1225070,Mandrehe Barat
12.25.04,1225080,Moro'o
12.73.01,1271010,Sibolga Utara
12.73.02,1271020,Sibolga Kota
12.73.03,1271030,Sibolga Selatan
12.73.04,1271031,Sibolga Sambas
12.74.05,1272010,Datuk Bandar
12.74.06,1272011,Datuk Bandar Timur
12.74.01,1272020,Tanjungbalai Selatan
12.74.02,1272030,Tanjungbalai Utara
12.74.03,1272040,Sei Tualang Raso
12.74.04,1272050,Teluk Nibung
12.72.05,1273010,Siantar Marihat
12.72.08,1273011,Siantar Marimbun
12.72.04,1273020,Siantar Selatan
12.72.02,1273030,Siantar Barat
12.72.03,1273040,Siantar Utara
12.72.01,1273050,Siantar Timur
12.72.06,1273060,Siantar Martoba
12.72.07,1273061,Siantar Sitalasari
12.76.01,1274010,Padang Hulu
12.76.05,1274011,Tebing Tinggi Kota
12.76.02,1274020,Rambutan
12.76.04,1274021,Bajenis
12.76.03,1274030,Padang Hilir
12.71.07,1275010,Medan Tuntungan
12.71.11,1275020,Medan Johor
12.71.09,1275030,Medan Amplas
12.71.04,1275040,Medan Denai
12.71.10,1275050,Medan Area
12.71.01,1275060,Medan Kota
12.71.15,1275070,Medan Maimun
12.71.16,1275080,Medan Polonia
12.71.17,1275090,Medan Baru
12.71.21,1275100,Medan Selayang
12.71.02,1275110,Medan Sunggal
12.71.03,1275120,Medan Helvetia
12.71.19,1275130,Medan Petisah
12.71.05,1275140,Medan Barat
12.71.20,1275150,Medan Timur
12.71.18,1275160,Medan Perjuangan
12.71.14,1275170,Medan Tembung
