kode_pum,kode_bps,nama
11.01.10.2016,1103041009,Lhok Sialang Rayeuk
11.01.10.2010,1103041010,Lhok Sialang Cut
11.01.10.2006,1103041011,Paya Ateuk
11.01.10.2003,1103041012,Silolo
11.01.10.2004,1103041013,Kampung Baru
11.01.10.2011,1103041014,Seuneubok
11.01.10.2007,1103041015,Ladang Tuha
11.01.10.2005,1103041016,Panton Bili
11.01.10.2001,1103041017,Ladang Teungoh
11.01.10.2002,1103041018,Pucok Krueng
11.01.10.2008,1103041019,Mata Ie
11.01.10.2009,1103041020,Ujong Batee
11.01.10.2021,1103041021,Pante Raja
11.01.13.2003,1103042001,Jambo Papan
11.01.13.2005,1103042002,Koto Indarung
11.01.13.2006,1103042003,Siurai-urai
11.01.13.2004,1103042004,Malaka
11.01.13.2010,1103042005,Lawe Melang
11.01.13.2001,1103042006,Koto
11.01.13.2007,1103042007,Kampung Sawah
11.01.13.2008,1103042008,Kampung Padang
11.01.13.2009,1103042009,Pulo Air
11.01.13.2011,1103042010,Mersak
11.01.13.2012,1103042011,Simpang Dua
11.01.13.2013,1103042012,Simpang Tiga
11.01.13.2002,1103042013,Alur Keujrun
11.01.08.2010,1103050001,Gunung Kerambil
11.01.08.2011,1103050002,Air Berudang
11.01.08.2001,1103050003,Lhok Keutapang
11.01.08.2002,1103050004,Hilir
11.01.08.2007,1103050005,Pasar
11.01.08.2003,1103050006,Padang
11.01.08.2006,1103050007,Tepi Air
11.01.08.2004,1103050008,Hulu
11.01.08.2005,1103050009,Jambo Apha
11.01.08.2008,1103050010,Lhok Bengkuang
11.01.08.2012,1103050011,Batu Itam
11.01.08.2013,1103050012,Panjupian
11.01.08.2014,1103050013,Lhok Rukam
11.01.08.2015,1103050014,Air Pinang
11.01.08.2009,1103050015,Panton Luas
11.01.08.2016,1103050016,Lhok Bengkuang Timur
11.01.06.2013,1103060001,Ujung Tanah
11.01.06.2020,1103060002,Payonan Gadang
11.01.06.2017,1103060003,Lubuk Layu
11.01.06.2018,1103060004,Suaq Hulu
11.01.06.2016,1103060005,Luar
11.01.06.2014,1103060006,Ujung Kampung
11.01.06.2019,1103060007,Tampang
11.01.06.2015,1103060008,Jilatang
11.01.06.2025,1103060009,Air Sialang Hulu
11.01.06.2026,1103060010,Air Sialang Tengah
11.01.06.2024,1103060011,Air Sialang Hilir.
11.01.06.2002,1103060012,Subarang
11.01.06.2004,1103060013,Gunung Ketek
11.01.06.2003,1103060014,Kuta Baru
11.01.06.2006,1103060015,Madat
11.01.06.2001,1103060016,Dalam
11.01.06.2008,1103060017,Tengah
11.01.06.2027,1103060018,Balai
11.01.06.2022,1103060019,Baru
11.01.06.2021,1103060020,Gadang
11.01.06.2023,1103060021,Ladang Kasik Putih
11.01.06.2005,1103060022,Ladang Panton Luas
11.01.06.2007,1103060023,Alur Seumerah
11.01.06.2010,1103060024,Alur Pinang
11.01.06.2009,1103060025,Gunung Cut
11.01.06.2011,1103060026,Kuta Blang
11.01.06.2012,1103060027,Batee Tunggai
11.01.06.2028,1103060028,Arafah
11.01.07.2015,1103070001,Sawang Ba'u
11.01.07.2014,1103070002,Ujung Padang
11.01.07.2011,1103070003,Kuta Baro
11.01.07.2010,1103070004,Simpang Tiga
11.01.07.2012,1103070005,Blang Geulinggang
11.01.07.2003,1103070006,Meuligo
11.01.07.2002,1103070007,Sawang I
11.01.07.2005,1103070008,Sawang Ii
11.01.07.2006,1103070009,Ujung Karang
11.01.07.2004,1103070010,Lhok Pawoh
11.01.07.2009,1103070011,Panton Luas
11.01.07.2008,1103070012,Trieng Meuduro Tunong
11.01.07.2007,1103070013,Trieng Meuduro Baroh
11.01.07.2001,1103070014,Sikulat
11.01.07.2013,1103070015,Mutiara
11.01.05.2021,1103080001,Alue Meutuah
11.01.05.2020,1103080002,Lhok Aman
11.01.05.2022,1103080003,Ladang Baro
11.01.05.2019,1103080004,Labuhan Tarok
11.01.05.2018,1103080005,Tanjung Harapan
11.01.05.2017,1103080006,Kuta Baro
11.01.05.2016,1103080007,Keude Meukek
11.01.05.2012,1103080008,Arun Tunggai
11.01.05.2014,1103080009,Blang Bladeh
11.01.05.2013,1103080010,Blang Teungoh
11.01.05.2015,1103080011,Ie Buboh
11.01.05.2001,1103080012,Kuta Buloh Ii
11.01.05.2002,1103080013,Kuta Buloh I
11.01.05.2003,1103080014,Ie Dingen
11.01.05.2004,1103080015,Drien Jalo
11.01.05.2005,1103080016,Jambo Papeun
11.01.05.2006,1103080017,Buket Meuh
11.01.05.2009,1103080018,Alue Baro
11.01.05.2008,1103080019,Rot Teungoh
11.01.05.2007,1103080020,Blang Kuala
11.01.05.2010,1103080021,Ladang Tuha
11.01.05.2011,1103080022,Lhok Mamplam
11.01.05.2023,1103080023,Labuhan Tarok Ii
11.01.04.2016,1103090010,Padang Baru
11.01.04.2015,1103090011,Lembah Baru
