kode_pum,kode_bps,nama,file_logo
52.06,5206,Bima,kab-h250px-5206.jpg
52.07,5207,Sumbawa Barat,kab-h250px-5207.jpg
52.08,5208,Lombok Utara,kab-h250px-5208.jpg
52.71,5271,Mataram,kab-h250px-5271.jpg
52.72,5272,Bima,kab-h250px-5272.jpg
53.01,5303,Kupang,kab-h250px-5301.jpg
53.02,5304,Timor Tengah Selatan,kab-h250px-5302.jpg
53.03,5305,Timor Tengah Utara,kab-h250px-5303.jpg
53.04,5306,Belu,kab-h250px-5304.jpg
53.05,5307,Alor,kab-h250px-5305.jpg
53.06,5309,Flores Timur,kab-h250px-5306.jpg
53.07,5310,Sikka,kab-h250px-5307.jpg
53.08,5311,Ende,kab-h250px-5308.jpg
53.09,5312,Ngada,kab-h250px-5309.jpg
53.10,5313,Manggarai,kab-h250px-5310.jpg
53.11,5302,Sumba Timur,kab-h250px-5311.jpg
53.12,5301,Sumba Barat,kab-h250px-5312.jpg
53.13,5308,Lembata,kab-h250px-5313.jpg
53.14,5314,Rote Ndao,kab-h250px-5314.jpg
53.15,5315,Manggarai Barat,kab-h250px-5315.jpg
53.16,5318,Nagekeo,kab-h250px-5316.jpg
53.17,5316,Sumba Tengah,kab-h250px-5317.jpg
53.18,5317,Sumba Barat Daya,kab-h250px-5318.jpg
53.19,5319,Manggarai Timur,kab-h250px-5319.jpg
53.20,5320,Sabu Raijua,kab-h250px-5320.jpg
53.21,5321,Malaka,kab-h250px-5321.jpg
53.71,5371,Kupang,kab-h250px-5371.jpg
61.01,6101,Sambas,kab-h250px-6101.jpg
61.02,6104,Mempawah,kab-h250px-6102.jpg
61.03,6105,Sanggau,kab-h250px-6103.png
61.04,6106,Ketapang,kab-h250px-6104.jpg
61.05,6107,Sintang,kab-h250px-6105.jpg
61.06,6108,Kapuas Hulu,kab-h250px-6106.jpg
61.07,6102,Bengkayang,kab-h250px-6107.jpg
61.08,6103,Landak,kab-h250px-6108.jpg
61.09,6109,Sekadau,kab-h250px-6109.jpg
61.10,6110,Melawi,kab-h250px-6110.jpg
61.11,6111,Kayong Utara,kab-h250px-6111.jpg
61.12,6112,Kubu Raya,kab-h250px-6112.jpg
61.71,6171,Pontianak,kab-h250px-6171.jpg
61.72,6172,Singkawang,kab-h250px-6172.jpg
62.01,6201,Kotawaringin Barat,kab-h250px-6201.jpg
62.02,6202,Kotawaringin Timur,kab-h250px-6202.jpg
62.03,6203,Kapuas,kab-h250px-6203.jpg
62.04,6204,Barito Selatan,kab-h250px-6204.jpg
62.05,6205,Barito Utara,kab-h250px-6205.jpg
62.06,6209,Katingan,kab-h250px-6206.jpg
62.07,6208,Seruyan,kab-h250px-6207.jpg
62.08,6206,Sukamara,kab-h250px-6208.jpg
62.09,6207,Lamandau,kab-h250px-6209.jpg
62.10,6211,Gunung Mas,kab-h250px-6210.jpg
62.11,6210,Pulang Pisau,kab-h250px-6211.jpg
62.12,6213,Murung Raya,kab-h250px-6212.jpg
62.13,6212,Barito Timur,kab-h250px-6213.jpg
62.71,6271,Palangka Raya,kab-h250px-6271.jpg
63.01,6301,Tanah Laut,
63.02,6302,Kotabaru,
63.03,6303,Banjar,
63.04,6304,Barito Kuala,
63.05,6305,Tapin,
63.06,6306,Hulu Sungai Selatan,
63.07,6307,Hulu Sungai Tengah,
63.08,6308,Hulu Sungai Utara,
63.09,6309,Tabalong,
63.10,6310,Tanah Bumbu,
63.11,6311,Balangan,
63.71,6371,Banjarmasin,
63.72,6372,Banjarbaru,
64.01,6401,Paser,kab-h250px-6401.jpg
64.02,6403,Kutai Kartanegara,kab-h250px-6402.jpg
64.03,6405,Berau,kab-h250px-6403.jpg
64.07,6402,Kutai Barat,kab-h250px-6407.jpg
64.08,6404,Kutai Timur,kab-h250px-6408.jpg
64.09,6409,Penajam Paser Utara,kab-h250px-6409.jpg
64.11,6411,Mahakam Ulu,kab-h250px-6411.jpg
64.71,6471,Balikpapan,kab-h250px-6471.jpg
64.72,6472,Samarinda,kab-h250px-6472.jpg
